iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/geological-feature-type/formal-unit,formal unit,,"Stratigraphic and lithodemic units that are formally defined and named in the Australian Stratigraphic Units Database (https://www.ga.gov.au/data-pubs/datastandards/reference-databases/stratigraphic-units) following conventions set out in the International Stratigraphic Guide (Salvador, 1994; an abridged version of the guide is available at https://stratigraphy.org/guide/index.html).","lithostratigraphic unit|lithstrat unit",,,,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/geological-event,geological event,,"A temporally and conceivably spatially defined episode in Earth's history that leads/contributes to the modification of any of the Earth's systems (geosphere, hydrosphere, cryosphere, atmosphere and biosphere).",,,,,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/georesources,georesources,,"Concentrations of naturally occurring solid, gas, and liquid geological materials within the earth’s crust (both on and below the surface) that occur in sufficient masses or volumes to have existing or potential economic and societal value. These resources include, but are not limited to, rock, metal and non-metal mineral resources, oil, natural gas, and geothermal energy resources; and environmental resources (water and soil).",,,,,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/landform-feature,landform feature,,"Any physical, recognizable form and feature of the Earth's surface having a characteristic shape and produced by natural causes. It includes major forms such as plain, plateau and mountain, and minor forms such as hill, valley, slope, esker and dune. Taken together, the landforms make up the surface configuration of the Earth.",,,,,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/lithotectonic-unit,lithotectonic unit,,"An assemblage of rocks that is unified on the basis  of structural or deformational features, mutual relations, origin or historical evolution. It may be igneous, sedimentary, metamorphic or mixed.",,,,,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/lithstrat-unit,lithostratigraphic unit,,"A named body of rock (sedimentary, igneous, metamorphic or mixed), that is defined and characterized on the basis of its observable and distinctive lithological properties or combination of lithological properties and stratigraphic/field relations. It represents the basic unit of geological mapping and includes formally defined stratigraphic and lithodemic units (cf Australian Stratigraphic Units Database, www.ga.gov.au/data-pubs/datastandards/stratigraphic-units) as well as lithotectonic units defined solely on the basis of lithologic properties and inclusion within a tectonic unit.",,,"https://linked.data.gov.au/def/geological-feature-type/formal-unit|https://linked.data.gov.au/def/geological-feature-type/lithotectonic-unit",,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/metallogenic-province,metallogenic province,,"A geographic area or section of the Earth's crust characterized by a particular assemblage ofmineral deposits, or by one or more distinctive types/styles of mineralization. The concept underscores the genesis and regional-to-global distribution of mineral deposits, with emphasis on their relationship in space and time to regional petrological and tectonic features of the Earth's crust.",,,,,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/mineral-system,mineral system,,"A unifying model comprising all of the geological and geodynamic factors, at all scales, that control the inception, evolution and preservation of an ore deposit. Critical components of a mineral system include a source of metals, a mode of transport, a site of deposition or accumulation where commodities become concentrated and are preserved to enable economically viable extraction during a given period. A mineral system model permits classification of known deposit types or styles into a genetically related family based on their association with the above factors.",,,,,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/petroleum-supersystem,petroleum supersystem,,"The petroleum supersystem concept, introduced by Bradshaw (1993), is a methodology to understand hydrocarbon occurrences throughout Australia at a continental-scale. The petroleum supersystem links sedimentary packages of similar age, structural history, depositional environment and hydrocarbon potential, both within and between basins. Thus, the petroleum supersystems approach can potentially be a powerful exploration tool for predicting the petroleum systems elements in frontier basins with limited datasets (Bradshaw et al 1994).",,,,,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/physiographic-unit,physiographic unit,,"A named geomorphological entity with internal coherence in its landform characteristics and landform evolutionary history. At the lowest levels, physiographic units reflect the underlying geology and have similar groupings of regolith materials that are related to the landform types, their evolution, and the underlying bedrock.",,,,,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/regolith-unit,regolith unit,,"A body of unconsolidated to secondarily recemented materials that overlies more coherent bedrock, and that has been formed and shaped by weathering, erosion, transport and/or deposition of older material. It includes the weathered component of the underlying bedrock.",,,,,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/structural-feature,structural feature,,"A feature that describes the geometric relationship of rocks and geological features in general. Structural features are divided into two broad classes: those acquired during the genesis of a rock mass (primary structure, e.g. bedding) or by later deformation or displacement of primary structures and of the rocks (secondary structures, e.g. a fold or fault).",,,,,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/tectonic-feature,tectonic feature,,"A regional- to continental-scale element of the solid Earth that is the result of lithosphere or crustal-scale deformation, including magmatic and gravity-driven near-surface processes.",,,,,https://linked.data.gov.au/def/geological-feature-type
https://linked.data.gov.au/def/geological-feature-type/tectonic-unit,tectonic unit,,"A named body of rock with distinct geological or geophysical characteristics (e.g. structure, stratigraphy, magmatic activity, metamorphism, seismic velocity, electrical conductivity) that reflect a different interpreted tectonic setting and geological history from that of surrounding bodies of rock.",,,,,https://linked.data.gov.au/def/geological-feature-type
